Name,2_March
Banas Finance,17.44
Banco Products,671
Bandhan Bank,200.75
Bang Overseas,61
Bank of Baroda,271.85
Bank of India,137.5
Bank of Maharashtra,60.45
Banka BioLoo,116
Bannari Amman Mills,48.2
Bannari Amman Spinning Mills Limited - RE,23.35
Bannari Amman Sugars,2568.95
Bansal Roofing,88.66
Banswara Syntex,159.5
Barak Valley Cem,61.95
Barbeque-Nation,587.8
Baroda Extrusion,4.03
Baroda Rayon,0
Baron Infotech,0.81
Bartronics India,4.25
Bartronics India,22.25
Basant Agro Tech,22.67
BASF India,3313.1
Bata India,1435.4
Batliboi,0
Bayer Cropscience,5684.9
Bazel International,34.59
BBTC,1720.95
BC Power Controls,4.45
BCC Fuba India,52.72
BCL Enterprises,1.25
BCL Industries,74.1
BCL Industries,74.1
BCPL Railway Infra,113
BDH Industries,0
Beardsell,42.1
Bedmutha Industries,263.35
Beekay Niryat,45.94
Beekay Steel Inds,642.05
Beeyu Overseas,2.76
Bella Casa Fashion,298
Bemco Hydraulics,970
BEML,3208.2
BEML Land Assets,278.25
Benares Hotels,9425.55
Bengal & Assam Co,9650.3
Bengal Tea & Fabrics,125.5
Berger Paints,593.15
Bervin Invstmnt,31.71
Beryl Drugs,37.87
Beryl Securities,36.02
Best Agrolife,1163.5
Best Eastern Hotel,19.72
Betex India,286
BF Investment,646.95
BF Utilities,955.25
BFFL,29.09
BFL Asset Finvest,22.07
BGFT,4.15
BGR Energy Systems,53.9
Bhagawati Oxygen,48.4
Bhageria Industries,190.1
Bhagiradha Chem,1787.2
Bhagwati Autocast,499
Bhagyanagar India,99.3
Bhagyanagar Prop,42.15
Bhakti Gems & Jewel,19.15
Bhandari Hosiery,9.95
Bhansali Engg Poly,97.35
Bharat Agri Fert,118
Bharat Agri Fert,118
Bharat Bhushan Fin,37.39
Bharat Bijlee,5943.3
Bharat Dynamics,1846
Bharat Electronics,206.75
Bharat Forge,1179.65
Bharat Gears,123.75
Bharat Parenteral,1416.55
Bharat Rasayan,9249.95
Bharat Road Network,77.4
Bharat Seats,170.3
Bharat Wire Ropes,321.85
Bharti Airtel,1131.1
Bhartiya Intl,341.3
Bhaskar Agro Chem,73.86
Bhatia Comms India,30.24
Bheema Cements,26.28
BHEL,235.9
Bhilwara Spinners,147.75
Bhilwara Tech Tex,46.2
Bhoruka Aluminium,0.42
Bhudevi Infra Proj,27.17
BIBCOL,33.27
Bigbloc Construction,240
Bihar Sponge Iron,0
Bijoy Hans,21.95
Bikaji Foods Inter.,522.4
BIL Energy Systems,0.6
Bilcare,71.31
Bimetal Bearings,0
Binani Industries,17
Binayak Tex Proc,887.3
Binny,167.25
Binny Mills,219
Bio Green Papers,1.81
Biocon,276.95
Biofil Chem & Pharma,65.6
Biogen Pharmachem,1.27
Biopac India Corp,0
Birla Cable,296.5
Birla Corporation,1677.65
Birla Precision,66.09
Birla Tyres,5.3
Birlasoft,787.25
Bisil Plast,2.37
BITS,3.79
BKM Industries,2.4
BKV Industries,14
BL Kashyap & Sons,77.65
Black Bo,274.15
Black Rose Inds,142.15
BLB,50
Bliss GVS Pharma,126
Bloom Dekor,10.45
Bloom Industries,32.6
BLS E-Services,380.15
BLS Infotech,4.82
BLS Intl Serv,370.8
Blue Chip India,3.35
Blue Chip Tex Inds,194.45
Blue Cloud Softech,59.67
Blue Coast Hotels,9.5
Blue Dart Express,5999.55
Blue Jet Healthcare,349.15
Blue Pearl Texspin,42.13
Blue Star,1316.2
Blueblood Ventures,11.07
BMW Industries,61.8
BN Holdings,202.9
BN Rathi Security,119.3
BNR Udyog,65.75
Bodal Chemicals,91.6
Bodhi Tree MM,188.65
Bodhtree Consulting,0
Bombay Cycle & Motor,1699.8
Bombay Dyeing,185.25
Bombay Hybrid Seeds,226.85
Bombay Oxygen Invst,19366
Bombay Rayon Fashion,2
Bombay Talkies,3.35
Bombay Wire Ropes,49.74
Bonlon Industries,43.48
Borosil,388.15
Borosil Renewables,563.3
Bosch,29037.75
BP Capital,4.89
BPCL,625.2
BPL,99.8
Brady & Morris Engg,755.5
Brahmaputra Infra,74.5
Brand Concepts,739.25
Brawn Biotech,24
Bridge Securites,19.28
Brigade Enterprise,1004.95
Bright Brothers,0
Brightcom Group,18.05
Brijlaxmi Leasing,8.92
Brilliant Portfolios,6.98
Brisk Technovision,156.65
Britannia Industries,4922.55
Bronze Infra-Tech,1.02
Brooks Labs,122.85
BSE,2352.45
BSEL Algo,1.4
BSL,191.75
Burnpur Cement,6.95
Butterfly Appliances,912.15
Byke Hospitality,71.9
Calcom Vision,159.8
California Software,18.45
Cambridge Tech,111.6
Camex,42.32
Camlin Fine Sciences,120.25
Campus Active,247.2
CAMS,3120.15
Can Fin Homes,790.45
Canara Bank,586.75
Candour Techtex,49
Canopy Finance,94.53
Cantabil Retail,230.95
Cantabil Retail,230.95
Capacite Infra,271.4
Capfin India,628.1
Capital India Finance,143.1
Capital Small Fin.,373.35
Capital Trust,130.35
Caplin Point Labs,1542.1
Capri Global Capital,979.45
Capricorn Systems,12.1
Caprihans India,0
Caprolactam Chem,57.29
Captain Pipes,18.4
Captain Polyplast,51.29
Carborundum Univ,1096.1
CARE Ratings,1166.6
Career Point,251.55
Carnation Industries,7.92
Cartrade Tech,781.85
Carysil,957.7
Caspian,51.93
Castex Tech,0.64
Castrol India,214.25
Cat Technologies,0.76
Catvision,23.4
CCL,75.92
CCL International,31.57
CCL Products India,629.15
CDG Petchem,49.93
CDSL,1929.6
CE Info Systems,1818
CEAT,2847.2
CEC,0
Ceejay Finance,201
Ceenik Exports,0
Ceeta Industries,34.99
Ceinsys Tech,593.4
Celebrity Fashion,16.7
Cello World,847.7
Cenlub Industries,480.25
Centenial Surgical,105
Centerac Tech,3.05
Central Bank of India,63.65
Centrum Capital,34.15
Centum Electronics,1870.75
Century Enka,452.55
Century Extrusions,23.05
Century Plyboard,716.55
Century Textiles,1459.35
Cera Sanitaryware,7527.95
Cerebra Intg Tech,7.8
CES,0.44
CESC,127.85
CG Power & Inds,472.85
Cg Vak,402.15
Chalet Hotels,818.55
Challani Capital,18.42
Chaman L S Exports,238.15
Chambal Breweries,8.61
Chambal Fertilisers,353.55
Chandni Machines,39
Chandra Prabhu Intl,30.92
Chandra Prabhu Intl,30.92
Chandrima Mercantiles,9.81
Charms Industries,6.47
Chartered,6.67
Chartered Cap,240
CHD Chemicals,7.09
Chembond Chemicals,507.9
Chemcon Speciality,276.1
Chemcrux Enterprises,296.7
Chemfab Alkalis,570.25
Chemiesynth (Vapi),21
Chemo Pharma Labs,71.96
Chemplast Sanmar,484.1
Chemtech Valves,123
Chennai Ferrous,127
Chennai Meenakshi,39.9
Chennai Petro Corp,908.7
Cheviot Co,1360.6
CHL,37.38
Choice Intl,278.65
Choksi Imaging,66.05
Choksi Laboratories,61.3
Cholamandalam Fin,1065.85
Cholamandalam Invest,1098.4
Chordia Food Prods,90
Chowgule Steamship,0
Chromatic India,0.9
Chrome Silicon,38.87
Cian Agro Inds,41.2
CIE Automotive India,447.65
Cigniti Technologies,1055.55
CIL Nova Petrochem,16.05
CIL Securities,55.9
Cimmco,0
Cindrella Fin Serv,18.43
Cindrella Hotels,58.87
Cineline India,125
Cinerad Comm,37.26
Cinevista,21.2
Cipla,1482.3
Cistro Telelink,0.6
Citadel Realty,30.42
Citi Port Fin Serv,17.17
Citizen Infoline,38.3
City Union Bank,138.2
Cityman,16
CJ Gelatine Prod,22.09
CL Educate,88.35
Classic Filaments,35.3
Classic Global Fin,0.7
Classic Leasing,19.78
Clean Science,1417.55
Clio Infotech,5.8
CMI,7.3
CMS Info Systems,401.85
CNI Research,3.26
Coal India,448.5
Coastal Corporation,294.85
Cochin Malabar,129.4
Cochin Minerals,308.6
Cochin Shipyard,872.35
Cochin Shipyard,872.35
Coffee Day Entr,56.95
Coforge,6505.15
Colab Cloud Platform,168.6
Colgate-Palmolive,2524.05
Colinz Laboratories,39.44
Colorchips Media,5.38
Comfort Commotrade,25.29
Comfort Fincap,10.48
Comfort Fincap,10.48
Comfort Intech,11.6
Comfort Intech,11.6
Competent Auto,479.35
Compuage Infocom,7.3
Compucom Software,31
Computer Point,4.68
COMSYN,81
Conart Engineers,118.85
Concord Biotech,1469.4
Concord Drugs,38.2
Concrete Credit,3.05
Confidence Futuristic,126.6
Confidence Petro,110.15
Consecutive Invest,39.62
Consolidated Const,1.5
Consolidated Finvest,268.6
Constronics Infra,32.46
Container Corp,981.35
Containerway Intl,9.82
Contil India,133.8
Continental Controls,6.21
Continental Petro,98
Continental Secs,9.61
Continental Secs,9.61
Control Print,925.25
Coral India Finance,53.15
Coral Labs,358
Coral Newsprints,9.89
Cords Cable Inds,181.6
Coromandel Intl,1081.25
Corporate Courier,3.13
Corporate Merchant,16.63
Cosboard Inds,2.3
COSCO India,273.1
Cosmo Ferrites,215.8
Cosmo First,527.05
COSYN,40.91
Country Club,15.2
Country Condo's,5.75
Coventry CoilO Matic,1.58
Covidh Tech,1.94
Cox & Kings Fin.Serv,0.35
Craftsman Automation,4288.2
Crane Infra,25.69
Cranes Software,0
Cranex,59.98
Cravatex,466.95
Creative Castings,744.95
Creative Eye,4.65
Creative Peripherals,751.15
CreditAccess Grameen,1481.55
Credo Brands Mktg,233.8
Cressanda Railway,21.38
Crest Ventures,445.1
Crestchem,128.5
CRISIL,4939.7
Crompton Greaves,301.1
Cropster Agro,621.85
Crown Lifters,179.35
CSB Bank,357.6
CSL Finance,459.3
CTL,46.85
Cubex Tubings,90.9
Cubical Fin Serv,1.68
Cummins India,2736.65
Cupid,2693.5
CWD Ltd,900
Cybele Industries,39.3
Cyber Media India,25.2
Cybermate Infotek,4.63
Cybertech Systems,165.4
Cyient,2032.8
Cyient DLM,816.75
D & H India,96.95
D Link (India),304.8
Dabur India,538.6
Dai Ichi Karkaria,0
Daikaffil Chemical,99.3
Dalal Street Invst,524.15
Dalmia Bharat,2065.3
Dalmia Bharat Inds,388.7
Damodar Industries,55.65
Dangee Dums,11.65
Danlaw Technologies,2004.6
Danube Industries,6.95
Darjeeling Ropeway,5.55
Darshan Orna,4.75
Data Patterns (I),2796.05
Datamatics Global,602.65
Datasoft Software,15.99
Daulat Securities,32.95
Davangere Sugar Co,106.5
DB Corp,288.2
DB Realty,269.25
DB Stock Brokers,47.8
DC Infotech & Comm,221.7
DCB Bank,131.45
DCM,83.85
DCM Financial Serv,6.4
DCM Nouvelle,190
DCM Shriram,971.8
DCM Shriram Inds,193.45
DCW,57.9
DCX Systems,329.2
Ddev Plastiks Ind.,197.45
De Nora India,1782.15
Debock Inds,8.9
Deccan Bearings,66.12
Deccan Cements,621.25
Deccan Gold Mines,114.3
Deccan Health Care,28.45
Deccan Polypacks,12.44
Decillion Fin,23.45
Decipher Labs,17.84
Deco-mica,76.92
Decorous Invest,11.85
Deep Diamond India,6.95
Deep Diamond India,6.95
Deep Energy Resource,194.4
Deep Industries,252.15
Deep Industries,252.15
Deep Polymers,101.45
Deepak Fertilisers,511.45
Deepak Nitrite,2218.35
Deepak Spinners,0
Delhivery,471.4
Delta Corp,138.3
Delta Industrial,21.33
Delta Manufacturing,110.65
Delton Cables,454.75
DEN Networks,56
Denis Chem Lab,133.75
Dev It,133.15
Dev It,133.15
Devhari Exports,0.6
Devine Impex,8.67
Devyani,157.95
Dewan Hsg Fin. Corp.,16.7
DFM Foods,461.7
Dhabriya Polywood,295.85
Dhampur Bio Organics,136.85
Dhampur Sugar Mills,241.05
Dhampure Sugars,88.16
Dhanada Corporation,2.42
Dhanalaxmi Spinner,193.05
Dhanashree Electro,58.1
Dhani Services,40.65
Dhani Services - PP,78.7
Dhanlaxmi Bank,47.5
Dhanlaxmi Cotex,73.21
Dhanlaxmi Fabrics,59
Dhanuka Agritech,1045.05
Dhanvantri J Rekha,26.66
Dhanvarsha Finvest,69.04
Dharan Sugars & Chem,8.55
Dharani Finance,5.99
Dharmaj Crop Guard,243.35
Dhenu Buildcon,2.25
Dhoot Industrial Fin,226.55
DHP India,743.9
Dhruv Consultancy,128.55
Dhruv Estates,11.78
Dhruva Capital,324.05
Dhunseri Invest,1268
Dhunseri Tea & Inds,217.25
Dhunseri Ventures,398.2
Diamant Infra,1.11
Diamines & Chem,603.95
Diana Tea Co,32.69
DIC India,481
Digicontent,21.05
Digispice Tech,32.35
Digjam,92.3
Diligent Industries,5.72
Diligent Media Co,5.15
Dilip Buildcon,460.85
DISA India,0
Dish TV India,21.45
Disha Resources,17.26
Dishman Carbogen,266.5
Divgi Torqtransfer,857.65
Divi's Labs,3508.5
Divinus Fabrics,6.2
Divyashakti Granites,77.97
Dixon Technologies,7043.2
DJ Mediaprint & Logi,147.95
DLF,922.95
DMCC Speciality Chem,308.15
Dodla Dairy,990.05
Dolat Algotech,73.5
Dolfin Rubbers,134.35
Dollar Industries,514.1
Dolphin Medical Serv,2.98
DOMS Industries,1516.1
Donear Industries,104.55
DP Abhushan,774.1
DP Wires,538.1
DQ Entertain.(Inter),0.85
Dr Agarwal's Hosp,3381.5
Dr Lal PathLabs,2333.95
Dr Reddy's Labs,6238.9
DRC Systems,21.1
Dreamfolks Services,533.2
Dredging Corporation,713.45
Ducon Infratech,10.7
Duke Offshore,16.77
Duncan Engg,430.3
Duro Pack,100.18
Duroply Industries,353.35
Dutron Polymers,158
Dwarikesh Sugar,81.85
Dynacons Systems,902.95
Dynamatic Tech,7345.95
Dynamic Archistruct,47.51
Dynamic Cables,429.4
Dynamic Industries,75.6
Dynamic Portfolio,65.59
Dynavision,253.05
Dynemic Products,305.5
E L Forge,11.63
E-Land Apparel,0
E2E Networks,994.2
Earum Pharma,2.28
EaseMyTrip,49.05
East Buildtech,24.05
East West Holdings,7.73
Eastern Silk Inds,2.05
Eastern Treads,41.87
Easun Cap Markets,46.84
Ebixcash World,258.55
EBNL,38.86
eClerx Services,2518.55
Eco Recycling,496.6
Ecoboard Industries,0
Ecofinity Atomix,35.38
Econo Trade India,7.05
Ecoplast,379.8
ECS Biztech,8.9
Edelweiss Financial Services,77.7
Edvenswa Enterprises,57.61
Edynamics Solutions,2.14
EFC (I),412.3
EFC (I),412.3
EHIL,811.25
Eicher Motors,3860.35
EID-Parry India,624.5
EIH,404.6
EIH Asso Hotels,734.95
Eimco Elecon India,1380.6
Ejecta Marketing,0.8
Ekam Leasing & Fin,6.12
Ekansh Concepts,59.4
EKI Energy Serv,394.1
Elango Industries,15.35
ELANTAS Beck India,0
Elcid Investments,3.37
Eldeco Housing & Ind,811.7
Elecon Engg Co,998.9
Electronics Mart Ind,220.3
Electrosteel Castings,164.3
Electrotherm India,538.75
Elegant Floriculture,6.59
Elegant Marbles,275.3
Elgi Equipments,687.35
ELGI Rubber Co,62.6
Elin Electronics,155.35
Elitecon Intl,10.5
Elixir Capital,83.55
Elnet Technologies,0
Elpro International,0
EMA India,37.95
Emami,458.25
Emami Paper Mills,131.7
Emami Realty,106.85
Emerald Finance,26.85
Emerald Leisures,163.95
Emergent Ind Soln,90.25
Emkay Global Fin,124.8
Emmbi Industries,107
Emmsons Intl,2.2
Empire Industries,1041
Empower India,3.51
EMS,492.9
eMudhra,583.6
Enbee Trade & Fin,14.93
Encode Packaging,11.5
Endurance Tech,1845
Energy Development Co,21.1
Engineers India,215.7
Enkei Wheels India,552
Enterprise Intl,28
Entertainment Network,346
Envair Electrodyne,0
EPACK Durable,187.35
EPIC Energy,11.25
EPL,192.3
Epsom Properties,9.9
Epuja Spiritech,7.21
Equippp Social,28.25
Equitas Holdings,120.3
Equitas Small Fin,101.3
Eris Lifesciences,878.05
Eros Intl Media,23.9
ERP Soft Systems,100.5
Esaar India,8.2
ESAB India,5081.15
ESAF Small Finance,62.75
Escorts,2904.9
Esha Media Research,6.85
Essar Shipping,27.1
Ester Industries,104.85
Ethos,2693.7
ETT,20.45
Eureka Forbes,465.45
Eureka Industries,4.39
Euro India Fresh Foods,136.5
Euro Leder Fashion,25.7
Euro Multivision,1.45
Eurotex Industries,16.5
