,Name,2_March,18_May
2982,Polytex India,6.5,7.56
2983,Pondy Oxides,757.4,716.25
2984,Ponni Sugars,421.5,451.75
2985,Poojawestern Metaliks,52.84,55.0
2986,Poona Dal & Oil,61.8,62.95
2987,Poonawalla Fincorp,465.4,465.2
2988,Popular Estate,24.16,23.95
2989,Porwal Auto Comp,65.19,57.82
2990,Power & Instrument,73.55,78.55
2991,Power Finance Corp,415.5,465.95
2992,Power Grid Corp,286.85,316.9
2993,Power Mech Projects,5126.1,5117.85
2994,PPAP Automotive,209.45,196.55
2995,Prabhat Dairy,99.6,99.6
2996,Prabhat Telecoms,100.0,100.0
2997,Prabhhans Inds,92.14,85.0
2998,Pradeep Metals,252.45,255.0
2999,Pradhin,50.0,50.8
3000,Pradip Overseas,1.15,1.15
3001,Prag Bosimi Syn,0.0,0.0
3002,Praj Industries,502.6,523.85
3003,Prajay Engineers,23.7,29.5
3004,Prakash Industries,181.4,172.9
3005,Prakash Pipes,417.4,373.75
3006,Prakash Steelage,8.3,9.65
3007,Prakash Woollen,37.64,37.94
3008,Pranavaditya Spinning,18.45,18.45
3009,Prataap Snacks,1101.75,861.35
3010,Pratik Panels,9.28,9.26
3011,Pratik Panels,9.28,9.26
3012,Pratik Panels,9.28,9.26
3013,Pratik Panels,9.28,9.26
3014,Pratiksha Chemicals,26.93,23.0
3015,Praveg,909.55,891.25
3016,Praxis Home Retail,21.05,16.2
3017,Precision Camshafts,222.95,199.45
3018,Precision Containeurs,2.16,2.16
3019,Precision Electronics,144.3,157.3
3020,Precision Wires,142.35,141.45
3021,Premco Global,391.65,426.55
3022,Premier,2.85,3.7
3023,Premier Capital Serv,4.45,4.9
3024,Premier Explosives,1554.25,2477.6
3025,Premier Pipes,2.68,2.68
3026,Premier Polyfilm,222.35,206.3
3027,Premier Synthetics,17.0,15.46
3028,Prerna Infrabuild,34.16,30.95
3029,Pressman Advertising,266.45,266.45
3030,Pressure Sensitive,11.46,7.76
3031,Prestige Estates,1213.35,1600.2
3032,Prevest Denpro,395.0,392.75
3033,Pricol,405.55,455.5
3034,Prima Agro,29.75,27.69
3035,Prima Industries,21.8,23.17
3036,Prima Plastics,204.65,186.7
3037,Prime Focus,117.1,101.95
3038,Prime Property Dev,32.82,30.28
3039,Prime Securities,185.45,195.55
3040,Prime Urban Dev,9.8,9.48
3041,Primo Chemicals,0.0,0.0
3042,Prince Pipes,579.25,653.2
3043,Prism Johnson,174.35,146.25
3044,Prism Medico,29.08,23.3
3045,Prismx Global,1.5,1.3
3046,Prithvi Exchange,0.0,0.0
3047,Priti International,181.55,170.8
3048,Pritika Auto Inds,37.25,29.55
3049,Pritish Nandy Comm,63.3,58.6
3050,Privi Speciality Chem,1197.35,1160.45
3051,Priya,0.0,0.0
3052,Pro Fin Capital,1.57,1.05
3053,Proaim,0.0,0.0
3054,Procal Electronics,0.58,0.6
3055,Progrex Ventures,16.62,17.32
3056,Promact Impex,14.71,13.83
3057,Protean e-Gov Tech.,1147.0,1195.6
3058,Provestment Serv,7.8,6.75
3059,Prozone Realty,36.8,31.8
3060,Prudent,1348.3,1624.25
3061,PSP Projects,711.8,685.1
3062,PTC Financial Serv,44.9,43.0
3063,PTC India,204.65,227.35
3064,PTC Industries,8344.3,7449.9
3065,PTL Enterprises,45.15,43.05
3066,Pudumjee Paper,68.75,96.65
3067,Pulsar International,79.55,11.94
3068,Puncom Commns,0.0,0.0
3069,Punjab & Sind Bank,64.65,60.9
3070,Punjab Chemicals,1055.4,1028.3
3071,Puravankara,247.15,430.0
3072,Purohit Construction,12.87,11.64
3073,Purple Entertainment,6.69,5.0
3074,Purshottam Investofin,48.52,43.52
3075,PVP Ventures,34.05,29.3
3076,PVR,1398.15,1325.65
3077,PVV Infra,28.0,38.65
3078,Pyramid Technoplast,175.7,153.4
3079,QGO Finance,70.12,63.42
3080,Quadrant Televentures,2.19,2.02
3081,Quantum Build-Tech,3.68,3.62
3082,Quantum Digital,19.31,19.7
3083,Quasar India,17.11,13.12
3084,Quess Corp,514.15,634.8
3085,Quest Capital,348.85,370.0
3086,Quest Finl. Services,0.45,0.45
3087,Quest Softech,49.96,48.0
3088,Quick Heal Tech,565.05,469.6
3089,Quint Digital,135.8,88.0
3090,R & B Denims,58.05,72.37
3091,R Systems Intl,463.1,481.8
3092,R&B Denims,58.05,72.37
3093,Raaj Medisafe,62.29,72.6
3094,Raasi Refractories,33.64,47.15
3095,Race Eco Chain,366.45,332.6
3096,RACL Geartech,1153.65,1255.0
3097,Radaan Media Works,2.4,2.2
3098,Radha Madhav Corp,2.0,2.0
3099,Radhagobind Comm,2.26,2.08
3100,Radhe Developers,3.74,3.37
3101,Radhika Jeweltech,65.35,63.1
3102,Radhika Jeweltech,65.35,63.1
3103,Radhika Jeweltech,65.35,63.1
3104,Radhika Jeweltech,65.35,63.1
3105,Radiant Cash Mgmnt.,86.15,85.9
3106,Radico Khaitan,1610.8,1721.3
3107,Radix Industries,149.45,136.7
3108,Raghav Productivity,630.8,686.6
3109,Raghunath Intl,13.78,11.63
3110,Raghuvir Synthetics,130.65,115.0
3111,Rahul Merchandising,14.58,16.86
3112,Rail Vikas Nigam,250.95,299.7
3113,Railtel Corp,458.9,412.0
3114,Rain Industries,182.85,167.7
3115,Rainbow Children,1300.65,1393.95
3116,Rainbow Denim,3.44,3.44
3117,Rainbow Foundations,16.97,15.48
3118,Raj Oil Mills,47.8,56.65
3119,Raj Packaging Inds,29.0,30.6
3120,Raj Rayon Industries,0.35,0.35
3121,Raj Television,61.95,140.3
3122,Raja Bahadur Intl,3950.0,3750.0
3123,Rajapalayam Mills,0.0,0.0
3124,Rajasthan Cylinders,36.14,36.45
3125,Rajasthan Gases,15.14,16.68
3126,Rajasthan Tube,42.77,32.1
3127,Rajath Finance,21.79,21.79
3128,Rajdarshan Inds,49.75,43.75
3129,Rajesh Exports,321.6,303.25
3130,Rajeswari Infra,4.45,4.18
3131,Rajkamal Synthetic,25.86,31.5
3132,Rajkot Investment,31.97,34.74
3133,Rajnandini Metal,13.5,11.65
3134,Rajnandini Metal,13.5,11.65
3135,Rajnandini Metal,13.5,11.65
3136,Rajnandini Metal,13.5,11.65
3137,Rajnish Wellness,10.44,6.97
3138,Rajnish Wellness,10.44,6.97
3139,Rajnish Wellness,10.44,6.97
3140,Rajnish Wellness,10.44,6.97
3141,Rajoo Engineers,202.35,245.8
3142,Rajputana Investment,49.37,40.85
3143,Rajratan Global Wire,654.65,592.95
3144,Rajshree Polypack,103.45,75.65
3145,Rajshree Sugars,73.55,63.7
3146,Rajvi Logitrade,8.45,10.25
3147,Rallis India,262.1,276.5
3148,Ram Minerals,0.49,0.49
3149,Ram Ratna Wires,286.75,380.55
3150,Rama Paper Mills,20.75,18.75
3151,Rama Petrochemicals,0.0,0.0
3152,Rama Phosphates,193.95,176.45
3153,Rama Steel Tubes,40.35,13.05
3154,Rama Vision,0.0,0.0
