,Name,2_March,18_May
920,DCM Financial Serv,6.4,5.3
921,DCM Nouvelle,190.0,201.6
922,DCM Shriram,971.8,1002.85
923,DCM Shriram Inds,193.45,219.7
924,DCW,57.9,52.2
925,DCX Systems,329.2,329.75
926,Ddev Plastiks Ind.,197.45,231.3
927,De Nora India,1782.15,1668.05
928,Debock Inds,8.9,8.0
929,Deccan Bearings,66.12,63.78
930,Deccan Cements,621.25,614.2
931,Deccan Gold Mines,114.3,117.95
932,Deccan Health Care,28.45,22.37
933,Deccan Polypacks,12.44,8.02
934,Decillion Fin,23.45,25.1
935,Decipher Labs,17.84,15.4
936,Deco-mica,76.92,85.5
937,Decorous Invest,11.85,9.9
938,Deep Diamond India,6.95,6.2
939,Deep Diamond India,6.95,6.2
940,Deep Diamond India,6.95,6.2
941,Deep Diamond India,6.95,6.2
942,Deep Energy Resource,194.4,181.75
943,Deep Industries,252.15,293.65
944,Deep Industries,252.15,293.65
945,Deep Industries,252.15,293.65
946,Deep Industries,252.15,293.65
947,Deep Polymers,101.45,90.25
948,Deepak Fertilisers,511.45,556.0
949,Deepak Nitrite,2218.35,2527.15
950,Deepak Spinners,0.0,0.0
951,Delhivery,471.4,434.85
952,Delta Corp,138.3,122.1
953,Delta Industrial,21.33,55.9
954,Delta Manufacturing,110.65,100.75
955,Delton Cables,454.75,409.9
956,DEN Networks,56.0,51.2
957,Denis Chem Lab,133.75,190.0
958,Dev It,133.15,110.5
959,Dev It,133.15,110.5
960,Dev It,133.15,110.5
961,Dev It,133.15,110.5
962,Devhari Exports,0.6,0.6
963,Devine Impex,8.67,7.56
964,Devyani,157.95,152.35
965,Dewan Hsg Fin. Corp.,16.7,16.7
966,DFM Foods,461.7,461.7
967,Dhabriya Polywood,295.85,274.5
968,Dhampur Bio Organics,136.85,123.0
969,Dhampur Sugar Mills,241.05,227.4
970,Dhampure Sugars,88.16,97.05
971,Dhanada Corporation,2.42,2.3
972,Dhanalaxmi Spinner,193.05,183.45
973,Dhanashree Electro,58.1,61.05
974,Dhani Services,40.65,47.15
975,Dhani Services - PP,78.7,78.7
976,Dhanlaxmi Bank,47.5,42.35
977,Dhanlaxmi Cotex,73.21,63.15
978,Dhanlaxmi Fabrics,59.0,70.0
979,Dhanuka Agritech,1045.05,1315.65
980,Dhanvantri J Rekha,26.66,21.0
981,Dhanvarsha Finvest,69.04,64.24
982,Dharan Sugars & Chem,8.55,8.55
983,Dharani Finance,5.99,7.44
984,Dharmaj Crop Guard,243.35,227.8
985,Dhenu Buildcon,2.25,2.21
986,Dhoot Industrial Fin,226.55,284.9
987,DHP India,743.9,720.0
988,Dhruv Consultancy,128.55,121.15
989,Dhruv Estates,11.78,11.78
990,Dhruva Capital,324.05,423.0
991,Dhunseri Invest,1268.0,1219.25
992,Dhunseri Tea & Inds,217.25,201.65
993,Dhunseri Ventures,398.2,335.25
994,Diamant Infra,1.11,0.9
995,Diamines & Chem,603.95,563.95
996,Diana Tea Co,32.69,28.0
997,DIC India,481.0,489.9
998,Digicontent,21.05,25.75
999,Digispice Tech,32.35,29.95
1000,Digjam,92.3,83.85
1001,Diligent Industries,5.72,5.57
1002,Diligent Media Co,5.15,4.55
1003,Dilip Buildcon,460.85,444.4
1004,DISA India,0.0,0.0
1005,Dish TV India,21.45,16.55
1006,Disha Resources,17.26,15.0
1007,Dishman Carbogen,266.5,196.6
1008,Divgi Torqtransfer,857.65,822.85
1009,Divi's Labs,3508.5,3929.0
1010,Divinus Fabrics,6.2,6.2
1011,Divyashakti Granites,77.97,78.8
1012,Dixon Technologies,7043.2,8948.85
1013,DJ Mediaprint & Logi,147.95,313.1
1014,DLF,922.95,851.4
1015,DMCC Speciality Chem,308.15,321.4
1016,Dodla Dairy,990.05,1010.65
1017,Dolat Algotech,73.5,162.4
1018,Dolfin Rubbers,134.35,211.15
1019,Dollar Industries,514.1,626.2
1020,Dolphin Medical Serv,2.98,1.9
1021,DOMS Industries,1516.1,1817.65
1022,Donear Industries,104.55,102.05
1023,DP Abhushan,774.1,
1024,DP Wires,538.1,504.65
1025,DQ Entertain.(Inter),0.85,0.85
1026,Dr Agarwal's Hosp,3381.5,3320.0
1027,Dr Lal PathLabs,2333.95,2535.65
1028,Dr Reddy's Labs,6238.9,5811.6
1029,DRC Systems,21.1,19.2
1030,Dreamfolks Services,533.2,517.75
1031,Dredging Corporation,713.45,849.7
1032,Ducon Infratech,10.7,8.2
1033,Duke Offshore,16.77,13.47
1034,Duncan Engg,430.3,469.0
1035,Duro Pack,100.18,77.0
1036,Duroply Industries,353.35,278.95
1037,Dutron Polymers,158.0,150.75
1038,Dwarikesh Sugar,81.85,71.6
1039,Dynacons Systems,902.95,1236.7
1040,Dynamatic Tech,7345.95,8526.35
1041,Dynamic Archistruct,47.51,47.51
1042,Dynamic Cables,429.4,572.75
1043,Dynamic Industries,75.6,72.35
1044,Dynamic Portfolio,65.59,62.0
1045,Dynavision,253.05,330.0
1046,Dynemic Products,305.5,264.65
1047,E L Forge,11.63,18.77
1048,E-Land Apparel,0.0,0.0
1049,E2E Networks,994.2,1021.65
1050,Earum Pharma,2.28,1.73
1051,EaseMyTrip,49.05,45.4
1052,East Buildtech,24.05,30.0
1053,East West Holdings,7.73,5.85
1054,Eastern Silk Inds,2.05,1.8
1055,Eastern Treads,41.87,39.1
1056,Easun Cap Markets,46.84,51.45
1057,Ebixcash World,258.55,213.05
1058,EBNL,38.86,40.31
1059,eClerx Services,2518.55,2366.2
1060,Eco Recycling,496.6,514.0
1061,Ecoboard Industries,0.0,0.0
1062,Ecofinity Atomix,35.38,38.99
1063,Econo Trade India,7.05,6.78
1064,Ecoplast,379.8,369.75
1065,ECS Biztech,8.9,8.62
1066,Edelweiss Financial Services,77.7,86.5
1067,Edvenswa Enterprises,57.61,60.4
1068,Edynamics Solutions,2.14,2.34
1069,EFC (I),412.3,381.0
1070,EFC (I),412.3,381.0
1071,EFC (I),412.3,381.0
1072,EFC (I),412.3,381.0
1073,EHIL,811.25,1074.2
1074,Eicher Motors,3860.35,4684.4
1075,EID-Parry India,624.5,635.95
1076,EIH,404.6,481.15
1077,EIH Asso Hotels,734.95,770.85
1078,Eimco Elecon India,1380.6,1995.4
1079,Ejecta Marketing,0.8,0.8
1080,Ekam Leasing & Fin,6.12,5.57
1081,Ekansh Concepts,59.4,55.81
1082,EKI Energy Serv,394.1,329.85
1083,Elango Industries,15.35,10.56
1084,ELANTAS Beck India,0.0,0.0
1085,Elcid Investments,3.37,3.37
1086,Eldeco Housing & Ind,811.7,1057.85
1087,Elecon Engg Co,998.9,1144.7
1088,Electronics Mart Ind,220.3,224.85
1089,Electrosteel Castings,164.3,178.25
1090,Electrotherm India,538.75,800.0
1091,Elegant Floriculture,6.59,6.29
1092,Elegant Marbles,275.3,268.8
1093,Elgi Equipments,687.35,636.3
1094,ELGI Rubber Co,62.6,62.7
1095,Elin Electronics,155.35,166.4
1096,Elitecon Intl,10.5,10.5
1097,Elixir Capital,83.55,115.88
1098,Elnet Technologies,0.0,0.0
1099,Elpro International,0.0,0.0
1100,EMA India,37.95,35.93
1101,Emami,458.25,516.65
1102,Emami Paper Mills,131.7,112.1
1103,Emami Realty,106.85,109.6
1104,Emerald Finance,26.85,33.25
1105,Emerald Leisures,163.95,133.95
1106,Emergent Ind Soln,90.25,90.25
1107,Emkay Global Fin,124.8,164.65
1108,Emmbi Industries,107.0,112.35
1109,Emmsons Intl,2.2,2.2
1110,Empire Industries,1041.0,1055.0
1111,Empower India,3.51,2.33
1112,EMS,492.9,453.65
1113,eMudhra,583.6,822.4
1114,Enbee Trade & Fin,14.93,13.34
1115,Encode Packaging,11.5,16.34
1116,Endurance Tech,1845.0,2188.05
1117,Energy Development Co,21.1,23.25
1118,Engineers India,215.7,270.15
1119,Enkei Wheels India,552.0,671.0
1120,Enterprise Intl,28.0,23.97
1121,Entertainment Network,346.0,241.55
1122,Envair Electrodyne,0.0,0.0
1123,EPACK Durable,187.35,181.4
1124,EPIC Energy,11.25,8.47
1125,EPL,192.3,197.2
1126,Epsom Properties,9.9,8.86
1127,Epuja Spiritech,7.21,5.14
1128,Equippp Social,28.25,27.85
1129,Equitas Holdings,120.3,120.3
1130,Equitas Small Fin,101.3,93.85
1131,Eris Lifesciences,878.05,897.25
1132,Eros Intl Media,23.9,21.45
1133,ERP Soft Systems,100.5,122.0
1134,Esaar India,8.2,7.33
1135,ESAB India,5081.15,5922.75
1136,ESAF Small Finance,62.75,55.6
1137,Escorts,2904.9,3923.3
1138,Esha Media Research,6.85,9.3
1139,Essar Shipping,27.1,28.5
1140,Ester Industries,104.85,124.3
1141,Ethos,2693.7,2475.3
1142,ETT,20.45,24.13
1143,Eureka Forbes,465.45,456.05
1144,Eureka Industries,4.39,3.6
1145,Euro India Fresh Foods,136.5,132.7
1146,Euro Leder Fashion,25.7,25.3
1147,Euro Multivision,1.45,1.45
1148,Eurotex Industries,16.5,13.3
1149,Eveready Industries,341.1,331.4
1150,Everest Industries,1225.4,1176.5
1151,Everest Kanto,156.6,143.6
1152,Everest Organics,140.15,135.85
1153,Everlon Financia,75.45,92.98
1154,Evexia Lifecare,2.38,2.4
1155,Excel Industries,841.5,1031.55
1156,Excel Realty N Inf,0.55,0.55
1157,Exide Industries,326.85,476.35
1158,Expleo Solutions,1357.8,1319.8
1159,Explicit Finance,6.67,5.9
1160,Expo Gas Containers,21.75,28.8
1161,Exxaro Tiles,113.95,99.4
1162,Eyantra ventures,963.9,963.9
1163,F Mec Intl Fin Serv,113.2,104.07
1164,Facor Alloys,8.78,7.88
1165,Fairchem Organics,1457.55,1397.7
1166,Family Care Hospital,9.07,7.99
1167,Faze Three,422.0,416.2
1168,Faze Three Autofab,91.85,91.85
1169,FCL,43.91,39.4
1170,FCS Software Soln,5.0,3.95
1171,FDC,446.25,483.85
1172,Fedbank Financial,123.1,124.0
1173,Federal-Mogul Goetze,357.95,388.75
1174,Fenoplast ,13.04,13.04
1175,Fermenta Biotech,176.6,162.85
1176,Fert & Chem Travan,737.7,696.3
1177,Fervent Synergies,24.0,15.11
1178,FGP,0.0,0.0
1179,Fiberweb,38.3,37.25
1180,Fiem Industries,1199.1,1195.8
1181,Filatex Fashions,16.34,11.96
1182,Filatex India,72.25,56.6
1183,Filatex India,72.25,56.6
1184,Filatex India,72.25,56.6
1185,Filatex India,72.25,56.6
1186,Fine Organic Inds,4324.8,4376.65
1187,Fine-Line Circuits,82.01,94.0
1188,Fineotex Chemical,415.6,359.8
1189,Finkurve Financial,55.02,64.0
1190,Fino Payments Bk,309.0,278.45
1191,Finolex Cables,958.45,1054.35
1192,Finolex Industries,224.75,297.05
1193,First Custodian Fund,58.8,64.46
1194,First Fintec,8.22,8.3
1195,Firstsource Soln,203.6,196.65
1196,Fischer Chemic,447.25,537.8
1197,Five Star Business,710.0,740.6
1198,Five X Tradecom,0.48,0.48
1199,Flair Writing Indu.,284.9,299.25
1200,Flex Foods,104.05,129.95
1201,Flexituff Ventures,40.3,32.35
1202,Flomic Global Logs,77.67,70.5
1203,Flora Corporation,11.2,8.15
1204,Fluidomat,591.45,634.0
1205,Focus Indl. Resource,0.67,0.67
1206,Focus Lighting,176.75,154.05
1207,Focus Lighting,176.75,154.05
1208,Focus Lighting,176.75,154.05
1209,Focus Lighting,176.75,154.05
1210,Foods and Inns,155.5,150.55
1211,Forbes & Company,0.0,0.0
1212,Force Motors,6653.95,8898.3
1213,Fortis Healthcare,402.65,452.75
1214,Fortis Malar Hosp,54.77,70.06
1215,Fortune Intl,52.4,43.8
1216,Foseco India,3520.2,3507.35
1217,Fourth Gen Info Sys,5.22,5.48
1218,Franklin Industries,7.48,6.19
1219,Franklin Industries,7.48,6.19
1220,Franklin Industries,7.48,6.19
1221,Franklin Industries,7.48,6.19
1222,Fraser & Company,5.57,5.1
1223,Fredun Pharma,858.3,871.1
1224,Freshtrop Fruits,161.0,138.0
1225,Frontier Capital,36.05,22.35
1226,Frontier Springs,1349.9,1279.9
1227,Fruition Venture,68.77,70.09
1228,Fundviser Capital,80.34,129.95
1229,Funny Software,0.37,0.37
1230,Fusion Micro Fin.,548.5,480.75
1231,Future Consumer,0.9,1.05
1232,Future Enterprises,0.8,0.75
1233,Future Entr - DVR,5.25,4.85
1234,Future Lifestyle,2.7,2.05
1235,Future Market Netw,6.95,6.35
1236,Future Retail,2.4,2.1
1237,Future Supply Chain,8.2,5.4
1238,Futuristic Secs,25.0,16.55
1239,Futuristic Solutions,124.8,115.8
1240,G-Tec Jainx Edu,82.5,74.3
1241,G-Tech Info-Training,1.45,1.59
1242,G.G. Dandekar Prop.,109.45,112.35
1243,G.S. Auto Intl,34.35,37.7
1244,Gabriel India,347.4,375.65
1245,Gaekwar Mills,12.52,12.52
1246,Gagan Gases,22.98,20.84
1247,Gagan Polycot,0.86,0.86
1248,GAIL (India),184.4,208.75
1249,Gajanan Securities,59.99,69.27
1250,Gajra Bevel Gears,3.25,3.25
1251,Gala Global Prods,3.87,3.65
1252,Galactico Corp Serv,4.65,4.08
1253,Galada Finance,15.7,16.5
1254,Galaxy Agrico Export,50.13,50.0
1255,Galaxy Bearings,1551.0,1473.3
1256,Galaxy Cloud Kitchen,15.48,15.74
1257,Galaxy Surfactants,2466.25,2572.95
1258,Gallantt Ispat,64.15,64.15
1259,Gallantt Ispat,64.15,290.5
1260,Gallantt Ispat,218.2,64.15
1261,Gallantt Ispat,218.2,290.5
1262,Gallops Enterprise,26.01,23.0
1263,Gammon Infra Proj,0.7,0.7
1264,Gandhar Oil Refinery,238.95,226.05
1265,Gandhi Special Tubes,804.35,846.6
1266,Ganesh Benzoplast,192.8,155.2
1267,Ganesh Holdings,68.9,164.0
1268,Ganesh Housing,840.1,846.4
1269,Ganesha Ecosphere,1061.2,1136.5
1270,Ganga Forging,11.9,8.45
1271,Ganga Papers,129.75,90.0
1272,Ganges Securities,125.75,154.45
1273,Ganon Products,10.63,6.7
1274,Garbi Finvest,29.96,17.99
1275,Garden Reach,816.7,1129.75
1276,Garden Silk Mill,7.6,7.6
1277,Garg Furnace,355.2,288.65
1278,Garment Mantra,7.3,5.91
1279,Garnet Construction,24.38,28.4
1280,Garnet International,59.42,50.0
1281,Garware Hi Tech,1907.75,1649.85
1282,Garware Marine,12.47,13.34
1283,Garware Synthetics,16.37,15.85
1284,Garware Tech Fibre,3540.25,3230.35
1285,Gateway Distri,106.8,106.9
1286,Gautam Gems,10.41,8.6
1287,Gayatri Bioorganic,6.46,5.65
1288,Gayatri Highways,1.35,1.3
1289,Gayatri Projects,9.6,6.5
1290,Gayatri Sugars,21.44,17.04
1291,GB Global,9.3,9.3
1292,GBL Industries,2.84,2.84
1293,GCM Securities,0.94,1.01
1294,GCSL,99.41,91.0
1295,GDL Leasing & Fin,8.33,8.33
1296,GE Power India,307.2,341.4
1297,GE Shipping,1004.55,1069.2
1298,GE T & D India,982.65,1312.05
1299,GEE,137.75,132.45
1300,GeeCee Vntrs,279.45,311.4
1301,Geekay Wires,106.65,102.6
1302,Geekay Wires,106.65,102.6
1303,Geekay Wires,106.65,102.6
1304,Geekay Wires,106.65,102.6
1305,Geetanjali Credit,3.43,5.59
1306,Gemstone Investments,1.09,1.66
1307,Genera Agri Corp,1.75,1.75
1308,General Insurance,390.95,344.45
1309,Generic Engg,49.65,40.35
1310,Genesis IBRC,10.76,13.06
1311,Genesys Intl Corp,620.3,584.95
1312,Gennex Laboratories,17.57,16.87
1313,Genomic Valley Bio,38.0,33.95
1314,Genpharmasec,3.92,2.44
1315,Gensol Engg,1102.45,928.2
1316,Genus Paper & Boards,22.1,23.05
1317,Genus Power Infra,255.0,321.4
1318,Genus Prime Infra,20.63,18.0
1319,Geojit Financial,75.65,107.85
1320,GFL,84.65,75.85
1321,GG Automotive Gear,100.1,121.5
1322,GG Engineering,2.1,2.03
1323,GHCL,510.35,501.5
1324,GHCL Textiles,87.8,84.75
1325,GI Engineering Sols,11.85,11.85
1326,Gian Life Care,23.83,20.18
1327,GIC Housing Finance,234.2,215.85
1328,Gilada Finance,12.21,10.58
1329,Gillanders Arbuthnot,99.5,83.55
1330,Gillette India,6534.15,6820.3
1331,Gini Silk Mills,85.95,81.01
1332,Ginni Filaments,36.1,36.75
1333,Gita Renewable,173.15,174.15
1334,GK Consultants,10.24,16.4
1335,GKB Ophthalmics,0.0,0.0
1336,GKP Printing,11.9,10.06
1337,GKW,1637.95,2336.55
1338,Glance Fin,80.85,86.67
1339,Gland Pharma,1794.8,1779.2
1340,Glenmark Life,844.9,822.55
1341,Glenmark Pharma,928.25,1042.45
1342,Glittek Granites,3.45,3.38
1343,Global Capital,1.01,0.92
1344,Global Capital,1.01,0.92
1345,Global Capital,1.01,0.92
1346,Global Capital,1.01,0.92
1347,Global Education,262.05,241.7
1348,Global Health,1320.85,1404.1
1349,Global Offshore Serv,7.85,7.85
1350,Global Surfaces,310.35,212.2
1351,Global Vectra,121.55,199.1
1352,Globalspace Tech,23.46,19.58
1353,Globe Commercials,22.3,22.71
1354,Globe Textiles,4.2,3.25
1355,Globus Corporation,0.0,0.0
1356,Globus Power Gen,17.36,17.35
1357,Globus Spirits,786.0,767.6
1358,Gloster,887.55,844.0
1359,GM Breweries,623.65,790.1
1360,GMDC,398.25,435.45
1361,GMM Pfaudler,1332.65,1395.9
1362,GMR Airports Infra.,85.8,86.0
1363,GMR Power,52.2,71.9
1364,GNA Axles,429.05,406.2
1365,GNFC,639.35,668.25
1366,GNRL,26.66,19.32
1367,Go Fashion (India),1126.7,1028.5
1368,Goa Carbon,830.25,860.3
1369,GOCL Corp,487.65,419.7
1370,Godavari Drugs,101.2,98.0
1371,Godawari Pwr,768.75,918.55
1372,Godfrey Phillips,3010.4,4160.85
1373,Godha Cabcon,0.85,0.65
1374,Godrej Agrovet,527.0,555.95
1375,Godrej Consumer,1273.4,1299.4
1376,Godrej Industries,814.25,786.8
1377,Godrej Properties,2441.5,2856.05
1378,Goenka Business,7.65,6.57
1379,Gokak Textiles,123.95,200.0
1380,Gokaldas Exports,841.8,842.65
1381,Gokul Agro Resources,113.9,147.65
1382,Gokul Refoils,45.45,43.45
1383,Gold Line Intl,1.07,0.66
1384,Gold Rock Invest,11.02,11.02
1385,Goldcoin Health,7.95,7.86
1386,Goldcrest Corp,0.0,0.0
1387,Golden Carpets,11.24,12.39
1388,Golden Crest Edu,77.43,79.0
1389,Golden Tobacco,57.35,38.85
1390,Goldiam Intl,190.7,171.15
1391,Goldstone Tech,152.15,
1392,Golechha Global,21.0,20.23
1393,Golkunda Diamonds,179.4,173.95
1394,Goodluck India,977.25,932.5
1395,Goodricke Group,0.0,0.0
1396,Goodyear India,1273.7,1273.7
1397,Gopal Iron & Steels,8.01,7.92
1398,Gorani Industries,149.9,100.1
1399,Gowra Leasing,43.0,41.25
1400,Goyal Aluminiums,10.1,10.3
1401,Goyal Aluminiums,10.1,10.3
1402,Goyal Aluminiums,10.1,10.3
1403,Goyal Aluminiums,10.1,10.3
1404,Goyal Associates,1.93,2.02
1405,GP Petroleums,71.75,64.35
1406,GPT Healthcare,191.8,162.6
1407,GPT Infraprojects,205.8,254.55
1408,GPTL,0.0,0.0
1409,GR Infraprojects,1262.05,1538.05
1410,Gradiente,4.88,4.88
1411,Grand Foundry,8.25,9.05
1412,Grandeur Products,173.1,173.1
1413,Granules India,465.1,406.75
1414,Graphite India,609.3,618.65
1415,Grasim Industries,2245.75,2434.35
1416,Gratex Industries,20.6,19.32
1417,Grauer & Weil,115.6,57.8
1418,Graviss Hospitality,47.01,45.9
1419,Gravita India,942.05,968.1
1420,Gravity (India),4.61,4.36
1421,Greaves Cotton,156.15,134.35
1422,Greencrest Fin Serv,1.09,1.08
1423,Greenearth Resources,0.24,0.24
1424,Greenlam Industries,539.6,583.2
1425,Greenpanel Industries,382.05,300.55
1426,Greenply Industries,272.35,253.5
1427,Grindwell Norton,2103.85,2363.9
1428,GRM Overseas,172.3,146.25
1429,Groarc Indust Ind,9.58,11.02
1430,Grob Tea Co,931.3,904.95
1431,Grovy India,108.2,116.85
1432,Growington,16.58,6.32
1433,Growington,16.58,6.32
1434,Growington,16.58,6.32
1435,Growington,16.58,6.32
1436,GRP,6314.95,7667.65
1437,GSB Finance,17.53,14.75
1438,GSFC,225.4,238.9
1439,GSK Pharma,2173.15,2359.55
1440,GSL Securities,13.6,15.0
1441,GSPL,366.95,297.4
1442,GSS Infotech,194.65,106.2
1443,GTL,11.8,12.75
1444,GTL Infrastructure,2.1,1.6
1445,GTN Industries,11.95,11.95
1446,GTN Textiles,19.5,19.5
1447,GTPL Hathway,197.65,173.45
1448,GTV Engineering,525.0,524.7
1449,Gufic Biosciences,318.1,343.2
1450,Guj Inds Power Co,190.75,190.45
1451,Guj Sidhee Cement,33.1,33.1
1452,Guj Themis Biosyn,0.0,0.0
1453,Guj Themis Biosyn,0.0,412.95
1454,Guj Themis Biosyn,368.35,0.0
1455,Guj Themis Biosyn,368.35,412.95
1456,Gujarat Alkalies,806.05,812.95
1457,Gujarat Ambuja Exp,403.95,156.55
1458,Gujarat Apollo Inds,277.6,265.2
1459,Gujarat Cotex,0.0,0.0
1460,Gujarat Craft Inds,127.55,107.75
1461,Gujarat Credit,26.98,21.0
1462,Gujarat Fluorochem,3673.2,3239.1
1463,Gujarat Gas,576.8,553.75
1464,Gujarat Hotels,185.2,201.0
1465,Gujarat Inject,13.52,15.85
1466,Gujarat Intrux,255.5,320.0
1467,Gujarat Lease Fin,11.1,9.25
1468,Gujarat Metallic,29.78,30.0
1469,Gujarat Petrosynth,65.37,80.49
1470,Gujarat Pipavav Port,215.65,210.5
1471,Gujarat Poly Elec,71.35,88.0
1472,Gujarat Terce Labs,32.5,58.0
1473,Gujarat Toolroom,56.09,21.44
1474,Gujarat Toolroom,56.09,21.44
1475,Gujarat Toolroom,56.09,21.44
1476,Gujarat Toolroom,56.09,21.44
1477,Gujchem Distillers,84.5,119.71
1478,Gulf Oil Lubricants,1000.2,926.05
1479,Gulshan Polyols,198.4,199.4
1480,GV Films,1.0,0.76
1481,GVK Power & Infra,12.4,11.1
1482,GVP Infotech,12.7,11.2
1483,Gyan Developers,30.63,17.15
1484,HAL,3157.15,4730.5
1485,HAL,3157.15,4730.5
1486,HAL,3157.15,4730.5
1487,HAL,3157.15,4730.5
1488,Halder Venture,262.7,542.4
1489,Haldyn Glass,169.6,150.55
1490,Happiest Minds Tech,856.0,818.3
1491,Happy Forgings,985.5,1046.5
1492,Hardcastle & Waud,668.2,736.9
1493,Hardwyn India,41.25,29.25
1494,Hardwyn India,41.25,29.25
1495,Hardwyn India,41.25,29.25
1496,Hardwyn India,41.25,29.25
1497,Haria Apparels,6.3,5.92
1498,Haria Exports,0.0,0.0
1499,Hariom Pipe Inds,520.75,605.7
1500,Harish Textile,51.0,52.75
1501,Harita Seating Sys,766.55,766.55
1502,Hariyana Ship,106.15,125.1
1503,Harmony Capital,71.38,48.55
1504,Harrisons Malayalam,190.5,190.55
1505,Harsha Engineers Int,409.0,446.45
1506,Harshil Agrotech,5.32,13.83
1507,Haryana Capfin,182.95,178.1
1508,Haryana Leather,67.07,97.13
1509,Hasti Finance,10.35,9.71
1510,Hathway Cable,22.7,21.25
1511,Hatsun Agro Prod,1123.9,1020.45
1512,Havells India,1576.45,1822.8
1513,Hawa Engineers,164.5,200.9
1514,Hawkins Cookers,0.0,0.0
1515,Hazoor Multi Proj,399.9,370.0
1516,HB Estate Developers,67.07,72.0
1517,HB Leasing,24.69,22.42
1518,HB Portfolio,78.48,71.48
1519,HB Stockholdings,92.05,91.9
1520,HBCDL,20.5,18.92
1521,HBL Power Systems,517.6,539.0
1522,HBSL,9.19,8.27
1523,HBSL,9.19,8.27
1524,HBSL,9.19,8.27
1525,HBSL,9.19,8.27
1526,HCKK Ventures,130.16,109.1
1527,HCL Infosystems,16.7,18.45
1528,HCL Technologies,1646.3,1338.9
1529,HDFC Asset Mgmt Co,3767.45,3786.6
1530,HDFC Bank,1430.75,1466.05
1531,HDFC Life Insurance,592.3,569.4
1532,Healthcare Global,351.45,360.25
1533,HEC Infra Projects,84.1,95.1
1534,HEG,1657.5,2485.05
1535,Heidelberg Cement,209.7,195.9
1536,Helpage Finlease,17.43,18.5
1537,Hemadri Cements,127.75,109.0
1538,Hemang Resources,40.6,32.25
1539,Hemisphere Prop,220.25,209.0
1540,Hemo Organic,8.2,11.44
1541,Heranba Industries,358.8,323.65
1542,Hercules Hoists,427.5,485.9
1543,Heritage Foods,347.35,364.5
1544,Hero MotoCorp,4581.45,5109.85
1545,Hester Biosciences,1440.55,1761.2
1546,Heubach Colorants(I),525.9,393.55
1547,Hexa Tradex,153.9,150.7
1548,HFCL,108.5,100.95
1549,HGIEL,922.4,1382.5
1550,Hi-Klass Trading,5.62,5.62
1551,Hi-Klass Trading,5.62,5.62
1552,Hi-Klass Trading,5.62,5.62
1553,Hi-Klass Trading,5.62,5.62
1554,Hi-Tech Gears,565.85,1157.7
1555,Hi-Tech Pipes,148.0,126.35
1556,Hi-Tech Pipes,148.0,126.35
1557,Hi-Tech Pipes,148.0,126.35
1558,Hi-Tech Pipes,148.0,126.35
1559,Hi-Tech Winding Sys,2.4,2.95
1560,High Energy Batteries,564.0,826.15
1561,High Street Filatex,57.37,59.16
1562,Hikal,279.2,298.6
1563,HIL,2805.5,2510.65
1564,Hiliks Technologies,31.8,47.3
1565,Hilton Metal Forging,160.8,125.65
1566,HIM Teknoforge,146.95,137.95
1567,Himadri Spl Chem,361.1,353.75
1568,Himalaya Food,27.95,27.7
1569,Himalaya Granites,0.0,0.0
1570,Himatsingka Seide,146.4,135.45
1571,Hind Aluminium Inds,60.0,60.99
1572,Hind Commerce,3.81,3.81
1573,Hind National Glass,21.1,17.8
1574,Hind Rectifiers,796.45,728.6
1575,Hind Secs &,8.02,8.02
1576,Hindalco,522.85,660.35
1577,Hindcon Chemicals,51.35,53.25
1578,Hindcon Chemicals,51.35,53.25
1579,Hindcon Chemicals,51.35,53.25
1580,Hindcon Chemicals,51.35,53.25
1581,Hindoostan Mills,323.5,270.0
1582,Hindprakash Inds,160.85,147.0
1583,Hinduja Global,913.45,829.0
1584,Hindustan Adhesive,440.7,378.3
1585,Hindustan Agri,60.34,48.48
1586,Hindustan Appliances,38.58,56.6
1587,Hindustan Composites,428.3,417.2
1588,Hindustan Constr,42.4,37.9
1589,Hindustan Copper,281.6,388.25
1590,Hindustan Fluoro,17.99,16.77
1591,Hindustan Foods,516.5,498.55
1592,Hindustan Hardy,451.6,510.0
1593,Hindustan Housing Co,38.74,38.74
1594,Hindustan Media,113.3,104.0
1595,Hindustan Motors,19.2,40.55
1596,Hindustan Tin Works,0.0,0.0
1597,Hindustan Unilever,2416.2,2327.15
1598,Hindustan Zinc,312.6,619.7
1599,Hindusthan Urban,2344.95,2361.0
1600,Hipolin,139.75,137.5
1601,Hisar Metal Inds,212.35,209.1
1602,Hit Kit Global,1.05,1.13
1603,Hitachi Energy,6128.2,11378.45
1604,Hitech Corporation,232.05,231.35
1605,Hittco Tools,11.5,11.95
1606,HLE Glascoat,496.35,439.85
1607,HLV,29.8,27.15
1608,HMA Agro Indus,66.5,54.25
1609,HMA Agro Indus,66.5,54.25
1610,HMA Agro Indus,66.5,54.25
1611,HMA Agro Indus,66.5,54.25
1612,HOC,0.0,0.0
1613,HOEC,194.3,200.05
1614,Home First Fin Co,910.4,841.65
1615,Honasa Consumer,418.65,406.55
1616,Honda Power Prods,2513.9,2871.3
1617,Honeywell Automation,37961.25,53560.5
1618,HOV Services,64.45,65.65
1619,Howard Hotels,25.5,24.99
1620,Hp Adhesives,121.6,102.35
1621,Hp Adhesives,121.6,102.35
1622,Hp Adhesives,121.6,102.35
1623,Hp Adhesives,121.6,102.35
